,CODIGO_CAMPUS,NOME_CAMPUS,UF_CAMPUS,MUNICIPIO_CAMPUS,CODIGO_IES,NOME_IES,SIGLA_IES,UF_IES
155,3319,Cubatão,SP,Cubatão,1810,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",IFSP,SP
156,3473,Centro de CiÃªncias Humanas e AgrÃ¡rias - Campus IV,PB,CatolÃ© do Rocha,550,UNIVERSIDADE ESTADUAL DA PARAÃBA,UEPB,PB
157,3477,Polo UniversitÃ¡rio de Rio das Ostras,RJ,Rio das Ostras,572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ
158,3927,CAMPUS ALEGRE,ES,Alegre,573,UNIVERSIDADE FEDERAL DO ESPÃRITO SANTO,UFES,ES
159,4229,Campus Universitário Darcy Ribeiro,DF,Brasília,2,UNIVERSIDADE DE BRASÍLIA,UNB,DF
160,4239,Unidade Acadêmica de Garanhuns,PE,Garanhuns,587,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE
161,4240,UNIDADE ACADÊMICA DE SERRA TALHADA,PE,Serra Talhada,587,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE
162,4255,"Escola de Artes, Ciências e Humanidades - EACH",SP,São Paulo,55,UNIVERSIDADE DE SÃO PAULO,USP,SP
163,4352,Campus UnB - Planaltina,DF,Brasília,2,UNIVERSIDADE DE BRASÍLIA,UNB,DF
164,5067,Campus XXI - Ipiaú,BA,Ipiaú,40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA
165,5069,Campus XXII - Euclides da Cunha,BA,Euclides da Cunha,40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA
166,5071,Campus XXIII - Seabra,BA,Seabra,40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA
167,5596,IFPE  - CAMPUS DE PESQUEIRA,PE,Pesqueira,1809,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",IFPE,PE
168,5623,Campus Realengo,RJ,Rio de Janeiro,3163,"INSTITUTO FEDERAL DE EDUCAÃÃO, CIÃNCIA E TECNOLOGIA DO RIO DE JANEIRO",IFRJ,RJ
169,5724,Unidade de Porto Alegre,RS,Porto Alegre,3336,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,UERGS,RS
170,5760,Fundação Municipal Irailda Ribeiro dos Santos,MG,Ubá,1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,MG
171,5812,Campus Universitário Prof Alberto Carvalho,SE,Itabaiana,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE
